location_name,sex_name,n_age_groups,correlation,p_value,fdr_pvalue,bh_family,small_island_excluded,fdr_pvalue_SID_excluded,significant_full_BH,significant_SID_excluded_BH,bh_family_SID_excluded
Kingdom of Norway,Male,20,0.0476996271604528,0.841717789391769,0.88510530430887,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.898208916196586,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Kingdom of Saudi Arabia,Female,20,-0.0667876760795292,0.779658824123652,0.869127869514891,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.879189737841565,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Kingdom of Saudi Arabia,Male,20,0.192895261790235,0.415185168902081,0.498222202682497,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.511739859344425,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Kingdom of Spain,Female,20,-0.0338419999505363,0.887363706194864,0.930327416291984,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.932281885653942,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Kingdom of Spain,Male,20,0.304643308887149,0.191557162512908,0.273270357710722,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.258115159657224,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Kingdom of Sweden,Female,20,-0.011968653539499,0.960058262564526,0.964787613611642,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.966134580682023,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Kingdom of Sweden,Male,20,0.137092448405,0.564377526566093,0.650469013669396,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.669671841223946,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Kingdom of Thailand,Female,20,0.555433410075371,0.0110078458743643,0.048817403442833,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.0426889632688762,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
Kingdom of Thailand,Male,20,0.55786374018063,0.0105902700013958,0.0218223745483308,2021 country-level Pearson correlations across 20 age groups within Male (m=204),FALSE,0.0205347918319748,TRUE,TRUE,2021 country-level Pearson correlations across 20 age groups within Male after cartographic/SIDS exclusion (m=159)
Kingdom of the Netherlands,Female,20,0.061169217075736,0.797810032455043,0.875017454950693,2021 country-level Pearson correlations across 20 age groups within Female (m=204),FALSE,0.887075490631831,FALSE,FALSE,2021 country-level Pearson correlations across 20 age groups within Female after cartographic/SIDS exclusion (m=159)
